,Unnamed: 0,composition,mp-id,target,space_group
812,812,Ba2GaSbSe5,mp-1203387.cif,2.51,62.0
813,813,Ba2GaSbTe5,mp-1200935.cif,1.66,62.0
814,814,Ba2SmGaSe5,mp-1189376.cif,2.27,2.0
816,816,Ba2YGaSe5,262882.cif,2.31,2.0
817,817,Ba2YGaTe5,mp-1189739.cif,1.08,36.0
818,818,Ba2HgS5,mp-1194545.cif,2.4,62.0
819,819,Ba2In2S5,mp-22841.cif,2.47,61.0
820,820,Ba2In2Se5,mp-573635.cif,2.12,61.0
822,822,Ba2DyInSe5,mp-1106127.cif,2.27,36.0
823,823,Ba2DyInTe5,mp-1189860.cif,1.35,36.0
825,825,Ba2ErInTe5,mp-1106146.cif,1.35,36.0
830,830,Ba2InSbSe5,mp-1189339.cif,1.92,36.0
831,831,Ba2SmInSe5,mp-1188304.cif,2.22,36.0
833,833,Ba2TaInO6,mp-1079630.cif,4.17,225.0
835,835,Ba2YInTe5,mp-1106096.cif,1.36,36.0
836,836,Ba2Mg2B2TeO10,,4.5,64.0
838,838,Ba2Sb7HO14,,2.7,147.0
840,840,Ba2ScTaO6,mp-1205823.cif,4.19,225.0
844,844,Ba2V2Te2O11,mp-1204192.cif,3.16,11.0
846,846,Ba2ZnSe3,mp-1190528.cif,2.75,62.0
849,849,Ba2B4H2O9,,5.12,152.0
850,850,Ba3BSbS6,,2.62,189.0
853,853,Ba3Bi2TeO9,mp-556407.cif,2.3,165.0
854,854,Ba3Cd(SnS4)2,,2.75,220.0
861,861,Ba3GeS5,mp-1200759.cif,3.0,62.0
863,863,Ba3In2(PO4)4,mp-1200796.cif,3.87,14.0
864,864,Ba3InS4Cl,mp-1205371.cif,3.42,140.0
866,866,Ba3MgTa2O9,mp-6325.cif,4.28,164.0
868,868,Ba3Sb2S7,mp-1195624.cif,2.4,15.0
869,869,Ba3Sn3Sb4,,0.18,14.0
872,872,Ba3Ta5NO14,,2.8,127.0
874,874,Ba3ThSe7,mp-1095255.cif,1.96,44.0
876,876,Ba4Ga5AgS12,,2.52,114.0
877,877,Ba4InAgSe6,,2.41,62.0
878,878,Ba4CdGa4(Se5Cl)2,,2.93,82.0
880,880,Ba4Ga4Fe(Se5Cl)2,,1.88,82.0
881,881,Ba4Ga4.5Cu0.5Se10Cl2,,2.78,82.0
884,884,Ba4Ga5CuSe12,,1.45,114.0
885,885,Ba4InCuSe6,,2.23,62.0
886,886,Ba2GaS4,mp-1199702.cif,2.55,14.0
887,887,Ba2GaSe4,mp-1195574.cif,1.63,14.0
889,889,Ba4Ga4SnSe12,mp-1195344.cif,2.16,114.0
890,890,Ba4Ge3S9Cl2,,2.91,173.0
894,894,Ba4MnGa4(Se5Cl)2,,2.78,82.0
895,895,Ba4Sb3S8Cl,,2.09,14.0
896,896,Ba4Si3Se9Cl2,,1.76,173.0
897,897,Ba4Ga4SnS12,,2.9,114.0
898,898,Ba4ZnGa4(Se5Cl)2,,3.08,82.0
899,899,Ba5V3O12F,,3.85,176.0
900,900,Ba5Cd(Ga2Se5)3,,2.6,40.0
901,901,Ba5(GaSe4)2,mp-1204617.cif,2.51,64.0
908,908,Ba6Al4B14O33,,3.44,2.0
909,909,Cs2Ba6InGa9(Se5Cl)4,,3.01,82.0
911,911,Ba6FeCu2(SnS4)4,,1.2,220.0
912,912,Ba6Cu2Ni(SnS4)4,,0.82,220.0
913,913,Ba6Ga2SnSe11,,1.99,14.0
914,914,Ba6Li2Zn(SnS4)4,,3.3,220.0
915,915,Ba6Sn3PbS13,,1.89,62.0
916,916,Ba6Sn6Se13,mp-1196224.cif,1.52,19.0
918,918,Ba7B3O9F5,,4.94,186.0
919,919,Ba7Ga5AgS15,,2.6,144.0
920,920,Ba7(SnS3)5,,2.29,185.0
921,921,Ba8Al10B12O41,mp-1019529.cif,3.1,2.0
922,922,Ba4Ga5Si18,,0.31,223.0
923,923,Ba8Hg4Se7S5,,1.98,62.0
924,924,Ba8U2PdSe16,mp-1195367.cif,0.18,58.0
925,925,Ba8Sn4S15,mp-1195594.cif,2.31,29.0
928,928,BaAl4Se7,mp-1191234.cif,3.4,7.0
929,929,BaAu(IO3)5,,2.32,29.0
932,932,BaB6,mp-954.cif,2.64,221.0
934,934,BaBiSe2ClO6,,3.4,36.0
936,936,BaCdSnS4,mp-12306.cif,2.3,43.0
940,940,BaCuTeF,mp-13287.cif,2.3,129.0
943,943,Ba(GaSe2)2,24386.cif,3.163,66.0
945,945,BaGa2SiSe6,,2.88,146.0
946,946,BaGa2SnSe6,,1.95,146.0
947,947,BaGa4S7,mp-4309.cif,3.54,31.0
948,948,BaGa4Se7,mp-1191072.cif,2.64,7.0
950,950,K2Ge(IO3)6,mp-560685.cif,3.22,148.0
951,951,Rb2Ge(IO3)6,,3.26,148.0
954,954,BaGe2,mp-2139.cif,1.0,62.0
955,955,BaHgS2,mp-28007.cif,1.93,26.0
956,956,BaHgSe2,,1.56,26.0
957,957,BaIn2(P2O7)2,mp-1205018.cif,3.97,15.0
958,958,Ba(InS2)2,mp-21943.cif,3.057,70.0
962,962,BaLa2In2S7,,1.87,55.0
963,963,BaLa2In2Se7,,1.66,55.0
964,964,BaPd(IO3)4,mp-1106270.cif,1.97,1.0
967,967,BaGe4(RhSe3)2,,1.089,61.0
968,968,BaS,mp-1500.cif,3.0,225.0
970,970,BaBSbS4,mp-866301.cif,2.29,62.0
971,971,BaBSbS4,mp-866301.cif,2.34,62.0
973,973,BaSn2BrF5,,3.54,129.0
974,974,BaSn2ClF5,,3.94,14.0
976,976,BaSn2S5,mp-1202711.cif,2.35,56.0
980,980,BaTeMo2O9,mp-19049.cif,3.12,4.0
981,981,BaUSe3,,1.0,62.0
982,982,BaZn2(PO4)2,mp-6089.cif,5.12,14.0
983,983,Ba(ZnAs)2,mp-7427.cif,0.23,62.0
986,986,BaZnSiSe4,,2.71,40.0
988,988,BeSe,mp-1541.cif,4.0,216.0
989,989,BiIO3F2,,3.97,5.0
990,990,Bi12PO20,mp-757798.cif,3.25,197.0
991,991,Ti(Bi3O5)4,mp-23494.cif,3.09,197.0
992,992,Bi2I4O13,mp-1204764.cif,3.3,19.0
993,993,AlBi24PO40,,2.99,197.0
996,996,GaBi24PO40,,2.99,197.0
997,997,VBi24O41,,3.25,197.0
998,998,FeBi25O39,,2.8,197.0
999,999,GaBi25O39,,2.99,197.0
1000,1000,TiBi25O39,,3.1,197.0
1001,1001,NbGaBi2O7,,2.8,227.0
1003,1003,NbInBi2O7,,2.7,227.0
1005,1005,Bi2Mo2Se2O13,mp-1200193.cif,3.15,2.0
1006,1006,Bi2(MoO4)3,mp-23388.cif,2.9,14.0
1007,1007,Bi2AsClO4,,3.43,15.0
1008,1008,CrBi2I2O11,,2.4,14.0
1009,1009,Bi2SI2O11,,3.74,14.0
1010,1010,Bi2SeI2O11,,3.7,14.0
1012,1012,Bi2TeO2,,0.23,139.0
1013,1013,Bi2S2O,mp-1078366.cif,0.995,129.0
1014,1014,Bi2Te2Se,mp-29666.cif,0.3,166.0
1016,1016,YV(BiO4)2,,2.09,139.0
1017,1017,VZn(Bi3O5)12,,2.91,197.0
1018,1018,Zn(Bi19O29)2,,2.88,197.0
1019,1019,In4Bi3S10,,1.42,6.0
1020,1020,Bi3I4O13F3,,3.7,186.0
1021,1021,Bi3BTeO9,,2.6,173.0
1023,1023,V2Bi4O11,,2.0,63.0
1024,1024,Bi5IO7,mp-554445.cif,2.76,73.0
1026,1026,Bi12PtCl12,mp-582988.cif,0.1,1.0
1028,1028,Bi2AsO5,,3.28,15.0
1029,1029,Bi8Te7S5,,0.4,166.0
1032,1032,CuBiTeO,mp-545369.cif,0.45,129.0
1033,1033,BiSeO3F,,3.83,29.0
1034,1034,FeBi(SeO3)3,mp-1197024.cif,2.54,19.0
1037,1037,CuBiSeO,mp-23116.cif,0.8,129.0
1039,1039,BiSe,mp-27902.cif,0.4,164.0
1041,1041,BiTeI,mp-22965.cif,0.365,156.0
1042,1042,VZn2BiO6,mp-1105584.cif,2.4,2.0
1043,1043,C,mp-997182.cif,0.0,194.0
1044,1044,CBr4,mp-680422.cif,3.7,15.0
1046,1046,Ca10Ge16(B2O17)3,mp-1019569.cif,5.47,32.0
1047,1047,Ca2CdAs2,422579.cif,0.95,36.0
1048,1048,Ca2Ge,mp-304.cif,1.0,62.0
1051,1051,Ca2Sn,mp-22735.cif,0.9,62.0
1053,1053,Ca3(BN2)2,mp-1227905.cif,4.1,64.0
1055,1055,Ca3La2(SnS4)3,,1.45,189.0
1056,1056,Ca3N2,mp-1047.cif,1.55,167.0
1057,1057,Ca3Sb2,mp-1013546.cif,1.4,221.0
1059,1059,Ca2Bi2O5,mp-28848.cif,3.34,2.0
1060,1060,Ca(BiO2)2,mp-558751.cif,3.08,15.0
1061,1061,Ca(GdS2)2,,2.55,220.0
1062,1062,CaH2,,3.0,225.0
1063,1063,CaH2,mp-1181926.cif,4.4,62.0
1064,1064,Ca(LaS2)2,,2.7,220.0
1071,1071,CaSnO3,151593.cif,4.4,62.0
1073,1073,CaTe,60202.cif,4.3,225.0
1075,1075,CdHIO4,,4.35,62.0
1077,1077,Cd12Ge17(B4O29)2,mp-1204954.cif,4.29,81.0
1078,1078,Cd2HSeBrO4,,4.2,15.0
1083,1083,Cd3Sb2,,0.3,59.0
1085,1085,GdCd4B3O10,,3.8,8.0
1087,1087,Cd4P2I3,mp-568545.cif,2.17,61.0
1088,1088,Cd4Sb2I3,mp-29044.cif,1.83,205.0
1089,1089,V3Cd4(TeO5)3,,2.66,19.0
1090,1090,YCd4B3O10,,3.78,8.0
1091,1091,Cd5B3ClO9,,4.2,8.0
1094,1094,Cd8B5O15F,,3.14,227.0
1095,1095,CdBiClO2,mp-550553.cif,3.08,11.0
1096,1096,YCdBiO4,mp-1203156.cif,2.41,141.0
1097,1097,CdBr2,mp-568690.cif,4.47,166.0
1098,1098,CdCl2,mp-22881.cif,5.7,166.0
1100,1100,CdF2,mp-241.cif,6.0,225.0
1102,1102,Cd(In15Te23)2,,1.17,216.0
1103,1103,CdIn8Te13,,1.02,216.0
1105,1105,Cd(PS2)2,,3.76,166.0
1106,1106,CdSb2Se3Br2,mp-567556.cif,1.4,12.0
1108,1108,CdTe2,,1.08,205.0
1109,1109,CdTeO3,mp-28290.cif,3.91,14.0
1110,1110,CdTeO3,,3.55,62.0
1111,1111,TlCdS2,mp-7708.cif,1.5,164.0
1112,1112,CeV2IO9,mp-1201268.cif,1.64,57.0
1113,1113,Ce10Se14O,mp-1198305.cif,1.93,142.0
1114,1114,Ce15B8N25,mp-683987.cif,3.5,167.0
1115,1115,Ce2Fe(SeO)2,,0.64,72.0
1116,1116,Ce2Te3,,1.3,220.0
1117,1117,YbCe2CuS5,,1.37,62.0
1118,1118,YbCe2CuSe5,,1.05,62.0
1119,1119,Ce3LuSe6,mp-645694.cif,1.1,58.0
1122,1122,Ce4(GeS4)3,mp-606703.cif,2.3,161.0
1124,1124,Ce8Sb2S15,,1.99,110.0
1127,1127,CeF3,mp-510560.cif,4.85,165.0
1129,1129,Ce(InS2)3,,1.11,55.0
1130,1130,CeScO3,mp-777413.cif,3.2,62.0
1135,1135,CoP3,mp-1944.cif,0.45,204.0
1138,1138,CoSbS,mp-1191202.cif,0.11,61.0
1139,1139,CoSbS,mp-4962.cif,0.5,31.0
1140,1140,CoSi,mp-7577.cif,0.045,198.0
1141,1141,CoTeMoO6,mp-551806.cif,2.32,18.0
1142,1142,Cr2S3,,0.9,194.0
1143,1143,Cr3Se4,mp-27840.cif,0.015,12.0
1148,1148,CrTe2,mp-685055.cif,0.17,164.0
1150,1150,CsTa3(SeO6)2,,3.88,164.0
1151,1151,CsTi3Se2(O3F)3,,3.5,186.0
1152,1152,Cs10Cd4Sn4S17,,3.16,81.0
1153,1153,Cs5Ga3Se7,mp-1193337.cif,3.25,12.0
1155,1155,Cs2AgBiCl6,mp-1078258.cif,2.77,225.0
1157,1157,Cs2Al2B2O7,mp-1019602.cif,4.13,14.0
1158,1158,Cs2Ba3(P2O7)2,mp-1019605.cif,6.31,19.0
1159,1159,Cs2Ba3Cu2(SbS5)2,,1.98,12.0
1160,1160,Cs2CdBi2S5,97427.cif,1.7,62.0
1161,1161,Cs2Cd(SeO3)2,,4.82,166.0
1163,1163,Cs2Cd3Te4,mp-567386.cif,2.48,72.0
1164,1164,Cs2Cd(PSe3)2,,2.63,14.0
1166,1166,Cs2DyCu3Te4,,1.38,12.0
1167,1167,Cs2NbCuSe4,mp-15223.cif,2.19,70.0
1168,1168,Cs2Cu(PS3)3,,2.4,169.0
1173,1173,Cs2Hg(ICl)2,,3.15,4.0
1176,1176,CsPSe4,,2.44,68.0
1177,1177,Cs2Bi2P4PbO15,,4.25,62.0
1178,1178,Cs2PdBr6,mp-1205847.cif,1.6,225.0
1184,1184,Cs2Sn3(SbS5)2,mp-1195304.cif,2.34,14.0
1185,1185,Cs2Sn(PSe3)2,,2.06,14.0
1186,1186,CsTaPSe6,,2.29,14.0
1187,1187,Cs2Te,mp-573763.cif,3.5,62.0
1189,1189,Cs2TeI6,mp-540957.cif,1.5,225.0
1190,1190,Cs2Ti(AgS2)2,mp-10488.cif,2.44,132.0
1191,1191,Cs2USiO6,,2.185,71.0
1193,1193,Cs2ZnGe3S8,,3.32,14.0
1197,1197,Cs3As,mp-542220.cif,0.6,185.0
1198,1198,Cs3Bi2Br9,mp-27544.cif,2.5,164.0
1199,1199,Cs3V4CdBrO12,,3.13,35.0
1202,1202,Cs3Sb2Br9,mp-579560.cif,2.3,164.0
1204,1204,Cs3Sb2I9,mp-541014.cif,1.89,164.0
1207,1207,Cs3Ag9(SbS3)4,,2.0,87.0
1208,1208,Cs4BiAs3Se7,mp-1204289.cif,1.02,14.0
1209,1209,Cs4V4Cd(ClO6)2,,3.0,8.0
1211,1211,Cs4Cu(SbCl6)2,,1.02,12.0
1212,1212,CsGeSe3,,2.15,33.0
1213,1213,Cs4Ge(PSe3)4,mp-1195417.cif,2.0,29.0
1214,1214,Cs4In8GeSe16,,2.2,15.0
1216,1216,CsTaPSe6,,2.38,14.0
1217,1217,Cs2Th(PS3)3,mp-640389.cif,2.8,2.0
1218,1218,Cs4Zr3S14,mp-680246.cif,2.35,15.0
1219,1219,Cs5Bi(PSe3)4,,1.85,26.0
1221,1221,Cs4Ga4Si19,,1.14,223.0
1222,1222,CsAg2AsS3,mp-866615.cif,2.7,14.0
1224,1224,CsAg5Te3,CsAg5Te3_mp-9206.cif,0.65,136.0
1225,1225,CsAgSb4S7,mp-554408.cif,2.04,15.0
1229,1229,CsB4O6F,,8.0,33.0
1230,1230,CsBa2SnS4Cl,mp-1194731.cif,2.06,14.0
1233,1233,CsBi2I2O6F5,,3.84,4.0
1234,1234,CsBi3Se5,,0.43,11.0
1236,1236,CsBiSe2,mp-1096942.cif,1.07,156.0
1237,1237,CsCaBO3,,4.2,198.0
1238,1238,CsCd4Ga5S12,,3.09,146.0
1239,1239,CsCd4Ga5Se12,,2.21,146.0
1240,1240,CsCd4Ga5Te12,,1.67,146.0
1241,1241,CsCd4In5Se12,,1.62,146.0
1243,1243,CsCdBO3,mp-1191636.cif,2.58,198.0
1244,1244,CsCdInSe3,,2.4,15.0
1246,1246,CsCeCdSe3,mp-574426.cif,2.4,63.0
1247,1247,CsCeHgSe3,mp-574472.cif,1.94,63.0
1249,1249,CsCu2SbS3,,1.63,2.0
1251,1251,CsDy9(Cd2Se9)2,,1.99,148.0
1254,1254,CsFeS2,mp-505632.cif,0.44,71.0
1256,1256,CsGaSe2,,3.16,15.0
1257,1257,CsGaSe2,,2.38,15.0
1258,1258,CsGa(SnSe3)2,,1.87,146.0
1260,1260,CsGdZnTe3,mp-1104469.cif,2.13,63.0
1261,1261,CsGe5BO12,,4.89,148.0
1262,1262,CsGeI3,mp-28377.cif,1.6,160.0
1263,1263,CsH3(SeO3)2,,4.77,2.0
1264,1264,CsInHgS3,mp-1194853.cif,2.3,15.0
1267,1267,CsInGeS4,,2.1,205.0
1268,1268,CsInGeS4,,2.4,62.0
1269,1269,CsInGeSe4,,2.32,62.0
1271,1271,CsInSe2,mp-1200720.cif,2.81,15.0
1272,1272,CsIn(SnSe3)2,,1.78,146.0
1274,1274,CsInTe2,mp-1199743.cif,2.16,15.0
1275,1275,CsInTe3O8,mp-1192413.cif,3.9,2.0
1276,1276,CsK(PSe4)2,,2.36,68.0
1277,1277,CsLu7S11,mp-1202825.cif,1.86,64.0
1278,1278,CsLu7Se11,mp-1203743.cif,1.78,64.0
1279,1279,CsMn4Ga5Te12,,1.55,146.0
1280,1280,CsMn4In5Se12,,1.79,146.0
1281,1281,CsMn4In5Te12,,1.48,146.0
1283,1283,CsNbSe2O7,,4.2,62.0
1285,1285,CsPPbO4,mp-1192530.cif,4.39,62.0
1286,1286,CsRb(PSe4)2,,2.41,68.0
1287,1287,CsSbS2,200798.cif,2.8,14.0
1288,1288,CsSb(SO4)2,mp-1195448.cif,4.68,19.0
1290,1290,CsSc(SeO3)2,mp-1194629.cif,5.2,62.0
1291,1291,CsSmCr2O8,,2.462,13.0
1292,1292,CsSmHgSe3,mp-7212.cif,2.374,63.0
1294,1294,CsTbZnTe3,mp-638078.cif,2.12,63.0
1296,1296,CsYHgSe3,mp-11123.cif,2.54,63.0
1297,1297,CsYTe3O8,,3.4,148.0
1298,1298,CsYbCoSe3,mp-542948.cif,0.95,63.0
1299,1299,CsYbZnS3,,2.61,63.0
1301,1301,CsZn4Ga5S12,,3.65,146.0
1302,1302,CsZn4In5Te12,,1.61,146.0
1305,1305,CdCu2SnS4,619774.cif,0.92,121.0
1307,1307,Cu2GeTe3,mp-12806.cif,0.1,44.0
1308,1308,Cu2HgI4,mp-23353.cif,2.03,121.0
1309,1309,In4Cu2Te7,,1.1,216.0
1310,1310,MgCu2GeS4,mp-1189056.cif,2.36,31.0
1311,1311,MgCu2SiS4,mp-1205334.cif,3.2,31.0
1313,1313,CuPS3,mp-1105187.cif,2.2,136.0
1314,1314,Cu2SnS3,mp-10519.cif,0.16,9.0
1316,1316,Ta11(CuO6)5,,2.59,190.0
1317,1317,Cu2Te3O8,mp-17598.cif,2.64,15.0
1320,1320,ZnCu2GeSe4,,1.63,82.0
1322,1322,ZnCu2SiTe4,656150.cif,1.47,121.0
1323,1323,ZnCu2SnSe4,mp-1078918.cif,1.44,82.0
1325,1325,Cu3AsS4,mp-3345.cif,1.24,31.0
1326,1326,Cu3AsSe4,,0.88,216.0
1328,1328,Dy(CuTe)3,,0.34,164.0
1329,1329,Er(CuTe)3,mp-640885.cif,0.24,31.0
1331,1331,Gd(CuSe)3,,0.14,164.0
1334,1334,Ho(CuTe)3,mp-1224142.cif,0.26,148.0
1336,1336,NbCu3S4,170784.cif,2.75,215.0
1337,1337,Cu3SbS4,mp-5702.cif,0.75,121.0
1339,1339,Sm(CuS)3,,1.82,13.0
1340,1340,Sm(CuTe)3,,0.23,164.0
1341,1341,Ta7Cu3O19,mp-28752.cif,2.47,176.0
1342,1342,TaCu3S4,mp-10748.cif,3.0,215.0
1343,1343,TaCu3Se4,mp-4081.cif,2.43,215.0
1346,1346,Tm(CuTe)3,mp-640889.cif,0.14,31.0
1347,1347,VCu3S4,628947.cif,1.0,215.0
1351,1351,Yb(CuSe)3,,0.2,164.0
1352,1352,Cu47Si91P144,,0.0269,119.0
1354,1354,Cu4SnS4,604567.cif,0.92,62.0
1355,1355,Ta11(CuO6)5,,2.59,190.0
1356,1356,CuBS2,mp-12954.cif,3.61,122.0
1357,1357,CuBi(PSe3)2,mp-569715.cif,1.2,163.0
1358,1358,Cd2InCuTe4,,0.85,216.0
1360,1360,CrCuO2,mp-505562.cif,3.13,194.0
1361,1361,CrCuO2,mp-510625.cif,3.13,166.0
1362,1362,FeCuTe2,,0.1,129.0
1363,1363,Ga2CuSe4,,0.63,216.0
1364,1364,Ga3CuSe5,,1.75,122.0
1366,1366,Ga5CuSe8,mp-1212666.cif,1.805,111.0
1368,1368,GaCuO2,mp-4280.cif,1.47,166.0
1369,1369,CuI,mp-22895.cif,2.8,216.0
1370,1370,In3CuS5,,1.2,112.0
1371,1371,In3CuSe5,,0.6,121.0
1373,1373,InCuGeSe4,,1.3,122.0
1376,1376,CuO,mp-704645.cif,0.8,15.0
1378,1378,CuSbS2,,0.24,56.0
1379,1379,CuSbSe2,mp-20331.cif,1.05,62.0
1380,1380,ScCuO2,mp-4636.cif,3.3,166.0
1381,1381,SmCuSe2,mp-11793.cif,2.1,14.0
1382,1382,TlCuSe2,mp-14090.cif,1.07,122.0
1386,1386,Dy2(MoO4)3,mp-1213163.cif,1.0,15.0
1390,1390,Dy4Te3S4,mp-1095296.cif,1.43,12.0
1391,1391,DyAs,mp-2627.cif,1.0,225.0
1393,1393,Dy(InS2)3,,1.22,55.0
1395,1395,Er2(MoO4)3,,0.96,113.0
1396,1396,Er2O3,mp-679.cif,5.42,206.0
1399,1399,Sm(ErS2)3,mp-13283.cif,2.3,11.0
1400,1400,Sm(ErSe2)3,mp-13282.cif,2.0,11.0
1401,1401,ErB6,mp-1296.cif,3.5,221.0
1403,1403,Er(InS2)3,,1.28,55.0
1405,1405,ErTe,mp-1280.cif,0.9,225.0
1409,1409,Eu2H6Ru,mp-634945.cif,0.08,225.0
1410,1410,Eu2SnSe5,,1.07,18.0
1412,1412,Eu3As2,,0.6,220.0
1416,1416,Eu3P2,,1.2,220.0
1418,1418,Eu3Sb4S9,mp-684111.cif,1.2,62.0
1419,1419,Eu3Sb4Se9,mp-1200385.cif,1.08,62.0
1420,1420,Eu6MgTa2B8SO26,,3.62,147.0
1423,1423,EuAl2O4,mp-1019732.cif,2.74,4.0
1424,1424,Eu(BiSe2)2,mp-1193071.cif,1.02,62.0
1425,1425,Eu(BiTe2)2,,0.44,220.0
1426,1426,EuBiW2O9,,3.63,62.0
1428,1428,Eu(DySe2)2,mp-645690.cif,1.8,62.0
1429,1429,Eu(ErSe2)2,mp-1193984.cif,1.7,62.0
1432,1432,EuH2,mp-1102496.cif,1.85,62.0
1433,1433,Eu(HoSe2)2,mp-1193885.cif,1.8,62.0
1435,1435,Eu(InSe2)2,mp-1104657.cif,1.31,66.0
1436,1436,Eu(InTe2)2,,1.22,66.0
1437,1437,EuIn2(GeIr)4,mp-1095411.cif,0.26,121.0
1439,1439,Eu(LuSe2)2,mp-645692.cif,1.7,62.0
1440,1440,EuB(SbO4)2,,3.46,62.0
1445,1445,Tb2EuSe4,mp-646337.cif,2.0,62.0
1446,1446,Eu(TmSe2)2,mp-542964.cif,1.8,62.0
1447,1447,Yb2EuS4,mp-1194516.cif,1.6,62.0
1448,1448,Yb2EuSe4,mp-645707.cif,1.3,62.0
1449,1449,Fe2B(PO4)3,mp-1197728.cif,3.52,176.0
1451,1451,FeAs2,mp-2008.cif,0.2,58.0
1453,1453,FeAsSe,mp-1101894.cif,0.6,14.0
1457,1457,FeP2,mp-20027.cif,0.4,58.0
1459,1459,FeSi,mp-871.cif,0.1,198.0
1461,1461,FeTe2,mp-19880.cif,0.46,58.0
1462,1462,GaHSeO4,mp-1194398.cif,5.51,62.0
1464,1464,Ga2(TeO3)3,,4.14,220.0
1465,1465,Ga2(TeO3)3,mp-1181313.cif,4.15,176.0
1466,1466,Ga2GeTe3,,0.84,194.0
1468,1468,Ga2Se2O7,mp-1196063.cif,4.61,56.0
1472,1472,Gd2(MoO4)3,mp-1195696.cif,4.18,15.0
1473,1473,Gd2O3,mp-504886.cif,5.3,206.0
1477,1477,Gd6MgTa2B8SeO26,,3.79,147.0
1478,1478,GdAs,mp-510374.cif,0.63,225.0
1479,1479,GdB6,mp-22266.cif,3.6,221.0
1481,1481,Gd(InS2)3,,1.13,55.0
1482,1482,GdN,mp-940.cif,1.54,225.0
1485,1485,GdTaN2O,,1.8,62.0
1489,1489,Ge2Sb2Te5,mp-3534.cif,0.5,164.0
1490,1490,GeP,637492.cif,0.95,12.0
1492,1492,GeTe,mp-2612.cif,1.98,225.0
1493,1493,Ti6H2O13,mp-1191976.cif,3.4,12.0
1495,1495,HgBr,mp-23177.cif,2.6,139.0
1496,1496,HgTeBr,,2.06,96.0
1497,1497,Cu3Hg2(Te3O8)2,mp-1194777.cif,2.56,90.0
1499,1499,HgTeI,,1.85,92.0
1500,1500,Hg3Bi2(SCl4)2,mp-1104411.cif,3.26,12.0
1501,1501,Hg3(SI)2,mp-29956.cif,2.25,74.0
1504,1504,Hg3(TeI)2,mp-28579.cif,1.93,15.0
1506,1506,Hg5AsS2I3,,1.57,15.0
1509,1509,HgBr2,mp-23292.cif,3.59,36.0
1512,1512,In2HgS4,mp-22356.cif,2.0,227.0
1515,1515,HgPS3,mp-27178.cif,2.6,2.0
1516,1516,HgS,mp-1123.cif,0.7,216.0
1517,1517,HgSe,HgSe_mp-820.cif,0.12,216.0
1519,1519,Ho2HfS5,mp-1195954.cif,1.0,62.0
1521,1521,Ho2O3,mp-812.cif,5.42,206.0
1524,1524,Ho(InS2)3,,1.23,18.0
1525,1525,HoN,mp-883.cif,1.9,225.0
1526,1526,Bi3Te3H(NO8)2,,3.26,189.0
1527,1527,In2As2Cl2O5,mp-1191856.cif,4.62,2.0
1528,1528,In2Bi3Se7I,mp-1198248.cif,1.5,62.0
1531,1531,In2Se2O7,mp-1199125.cif,2.97,56.0
1532,1532,In4As5(BrO4)3,mp-1200791.cif,4.22,2.0
1534,1534,In5Se6,,0.14,11.0
1535,1535,InBi2S4Br,mp-1206068.cif,1.5,12.0
1536,1536,InBi2S4Cl,mp-559521.cif,1.5,12.0
1537,1537,InBi2Se4Br,mp-571169.cif,1.21,12.0
1538,1538,NbIn(TeO4)2,mp-1195222.cif,3.5,29.0
1541,1541,InSb2S4Cl,mp-556541.cif,1.8,12.0
1543,1543,InTe,mp-20320.cif,0.31,140.0
1546,1546,K10Mn4Sn4S17,,2.3,215.0
1547,1547,K10Sn3(PSe3)8,,1.82,148.0
1548,1548,K10Zn4Ge4S17,,3.34,215.0
1549,1549,K2Ag2SnSe4,mp-570887.cif,1.8,13.0
1550,1550,K2Ag3Sb3S7,mp-1223709.cif,2.2,36.0
1551,1551,K2In3AgSe6,mp-680403.cif,1.64,15.0
1552,1552,K2VAgS4,mp-8900.cif,1.85,70.0
1554,1554,KSnAuS3,,2.3,124.0
1555,1555,KSnAuSe3,,2.287,124.0
1557,1557,K2PAuS4,mp-9509.cif,2.63,11.0
1558,1558,K2Ba3Cu2(SbS5)2,,1.9,12.0
1561,1561,K2Cd(SeO3)2,,4.77,166.0
1562,1562,K2Cd2Te3,mp-571637.cif,1.93,14.0
1563,1563,K2Cd3S4,mp-18101.cif,2.75,62.0
1564,1564,K2Cd3Te4,mp-18531.cif,2.26,62.0
1565,1565,K2Cd(PSe3)2,,2.58,14.0
1566,1566,K2Ce(PO4)2,mp-560528.cif,2.46,141.0
1568,1568,KCuSnS3,,1.47,15.0
1569,1569,KCuSnSe3,,1.04,15.0
1572,1572,K2In3CuSe6,mp-21713.cif,1.68,15.0
1574,1574,K2NbCuSe4,73324.cif,2.14,70.0
1575,1575,K2CuSbS3,mp-554343.cif,2.2,14.0
1576,1576,K2VCuS4,mp-15147.cif,1.82,70.0
1577,1577,K2Dy2Ti3O10,,3.38,139.0
1579,1579,K2Gd2Sb2Se9,,1.33,55.0
1580,1580,K2Gd2Ti3O10,,3.3,139.0
1581,1581,K2Ge3(BO5)2,mp-560019.cif,5.38,5.0
1585,1585,K2Sn2Hg3S8,281505.cif,2.4,41.0
1586,1586,K2Sn2Hg3S8,,2.5,5.0
1587,1587,K2Hg(PSe3)2,mp-568855.cif,2.25,14.0
1589,1589,K2La2Sb2S9,mp-1223734.cif,2.2,55.0
1591,1591,K2Mn(SnSe3)2,mp-669410.cif,2.0,130.0
